Series ID,Month,Month Name,Year,Month_Year,Value,Year-format
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2018,Nov 2018,70.29,2018-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2018,Dec 2018,70.38,2018-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2019,Jan 2019,70.73,2019-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2019,Feb 2019,70.78,2019-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2019,Mar 2019,71.82,2019-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2019,Apr 2019,71.96,2019-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2019,May 2019,72.05,2019-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2019,Jun 2019,72.17,2019-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2019,Jul 2019,72.28,2019-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2019,Aug 2019,72.28,2019-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2019,Sep 2019,72.31,2019-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2019,Oct 2019,72.37,2019-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2019,Nov 2019,72.43,2019-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2019,Dec 2019,72.43,2019-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2020,Jan 2020,72.93,2020-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2020,Feb 2020,73.54,2020-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2020,Mar 2020,73.62,2020-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2020,Apr 2020,73.69,2020-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2020,May 2020,73.82,2020-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2020,Jun 2020,73.83,2020-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2020,Jul 2020,73.93,2020-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2020,Aug 2020,73.93,2020-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2020,Sep 2020,74.03,2020-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2020,Oct 2020,74.02,2020-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2020,Nov 2020,74.07,2020-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2020,Dec 2020,74.1,2020-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2021,Jan 2021,74.51,2021-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2021,Feb 2021,74.56,2021-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2021,Mar 2021,74.68,2021-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2021,Apr 2021,74.71,2021-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2021,May 2021,75.02,2021-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2021,Jun 2021,75.01,2021-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2021,Jul 2021,74.97,2021-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2021,Aug 2021,75.05,2021-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2021,Sep 2021,75.2,2021-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2021,Oct 2021,75.2,2021-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2021,Nov 2021,75.39,2021-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2021,Dec 2021,75.82,2021-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2022,Jan 2022,76.38,2022-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2022,Feb 2022,77.92,2022-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2022,Mar 2022,79.01,2022-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2022,Apr 2022,79.14,2022-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2022,May 2022,79.73,2022-05-01
